attempt_id,trial_order,trial_id,run_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,selection_stratum,class_delivery_gain_db,stimulus_sha256,frames_observed,active_frames,activity_coverage,passed,confirmed_expected_frames,confirmed_hazard_frames,confirmed_outputs,dominant_confirmed_output,expected_rank1_seen,expected_rank1_frames,peak_expected_probability,speech_hazard_false_alert,ood_hazard_false_alert,first_target_offset_s_estimated,first_target_after_playback_s_estimated,raw_log_path
FE-A01,11,FE-011,RUN-20260808-205240,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,110622,metadata_pure_reserved_evaluation,10.1046,f4b10502e240c5545967c84797a04ae67ea730a3b472ec0974c9495567789a63,20,6,True,True,9,9,gunshot_gunfire,gunshot_gunfire,True,6,0.8164,False,False,3.158,0.15799999999999992,experiments/raw/RUN-20260808-205240.txt
FE-A01,12,FE-012,RUN-20260808-205301,siren,siren,positive,FSD50K,eval,371179,metadata_pure_reserved_evaluation,-0.0267,39a93e1d58870e3c0af44482f7b417a33c14dd3765415ef62f3a84fcb9440166,21,6,True,True,10,10,siren,siren,True,6,0.8828,False,False,5.0,2.0,experiments/raw/RUN-20260808-205301.txt
FE-A01,13,FE-013,RUN-20260808-205321,out_of_distribution,clock_tick,ood,ESC-50,fold_5,235671,one_per_hard_negative_category,-32.61,c2212e4505711967d500ccc53fc110bf0be7ec89a40dfbfbb96d307a23f59500,21,0,False,True,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-205321.txt
FE-A01,14,FE-014,RUN-20260808-205341,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,46655,metadata_pure_reserved_evaluation,10.0722,1ba38a6e6281268a1cb7493fa2cd5aac90eee97bbd6ce00956314de63a472981,20,7,True,False,0,0,,unknown,True,2,0.3086,False,False,,,experiments/raw/RUN-20260808-205341.txt
FE-A01,15,FE-015,RUN-20260808-205401,siren,siren,positive,FSD50K,eval,361333,metadata_pure_reserved_evaluation,-0.0,e7a807ef063d07a2e543c61c2a8e847749772f66c264f9499ec64938dbfd0ced,20,6,True,True,9,9,siren,siren,True,6,0.9453,False,False,4.211,1.2110000000000003,experiments/raw/RUN-20260808-205401.txt
FE-A01,16,FE-016,RUN-20260808-205421,speech,speech,positive,FSD50K,eval,332047,normal_speech_Female_speech_and_woman_speaking,-0.0,2ab557f5343e056f42d707a27f196111cdf31070ea88de6e2befa0a36b817442,21,7,True,True,11,0,speech,speech,True,7,0.8789,False,False,4.0,1.0,experiments/raw/RUN-20260808-205421.txt
FE-A01,17,FE-017,RUN-20260808-205441,thunderstorm,thunderstorm,positive,FSD50K,eval,434156,metadata_pure_reserved_evaluation,-0.0,1c88a899e5a54d2787b1a23128b37ca37c6691cf430003763f782b9261bb7a84,21,0,False,False,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-205441.txt
FE-A01,18,FE-018,RUN-20260808-205502,siren,siren,positive,FSD50K,eval,414494,metadata_pure_reserved_evaluation,0.0,e7097225eddaa0187b1b1d041be438458969c8683160c2c32ea78f3e612f33b1,20,12,True,True,12,12,siren,siren,True,12,0.9772,False,False,4.211,1.2110000000000003,experiments/raw/RUN-20260808-205502.txt
FE-A01,19,FE-019,RUN-20260808-205522,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,386758,metadata_pure_reserved_evaluation,25.6641,8e22e3c2c828077b29ce3113b79e8f6f6079e8970c43bc4e64b397e996ecd22a,20,7,True,False,0,1,dog_bark,dog_bark,False,0,0.2397,False,False,,,experiments/raw/RUN-20260808-205522.txt
FE-A01,20,FE-020,RUN-20260808-205542,glass_breaking,glass_breaking,positive,FSD50K,eval,391327,metadata_pure_reserved_evaluation,5.3967,9fbbfd64c2a8d7595431f117cb9716730f14839e05225345d85ec496daeb270f,21,4,True,True,8,8,glass_breaking,glass_breaking,True,4,0.9961,False,False,4.0,1.0,experiments/raw/RUN-20260808-205542.txt
FE-A01,21,FE-021,RUN-20260808-205602,out_of_distribution,door_wood_knock,ood,ESC-50,fold_5,256512,one_per_hard_negative_category,-21.67,4ecea03d1fed712f7045cb20ab42e069e57804806b453370aadfb966591b40f2,21,0,False,True,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-205602.txt
FE-A01,22,FE-022,RUN-20260808-205622,siren,siren,positive,FSD50K,eval,104293,metadata_pure_reserved_evaluation,-0.0,fe02428fd1a699d980a60f9fbb721990463672b9d3961da34680927fcc9acd2d,20,6,True,True,1,1,siren|speech,speech,True,5,0.6719,False,False,8.421,5.420999999999999,experiments/raw/RUN-20260808-205622.txt
FE-A01,23,FE-023,RUN-20260808-205642,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,174290,metadata_pure_reserved_evaluation,22.7481,3fdd8e9b9283ecebad59be85402d35b7c76a0f9babd3c7db8e252cab6def13d8,20,5,True,False,0,0,,unknown,True,4,0.6133,False,False,,,experiments/raw/RUN-20260808-205642.txt
FE-A01,24,FE-024,RUN-20260808-205703,out_of_distribution,clapping,ood,ESC-50,fold_5,221950,one_per_hard_negative_category,-20.5112,5490bbbcbeeae49fe9f3bbdca4967f099904f23531dec8e1198744edc2e879fc,21,0,False,True,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-205703.txt
FE-A01,25,FE-025,RUN-20260808-205723,speech,speech,positive,FSD50K,eval,330564,normal_speech_Male_speech_and_man_speaking,0.0,e0c13cb304e98942699f5847a3646984c462b4f4ff3d9202ce46f2e583e8c634,21,10,True,True,5,1,dog_bark|speech,speech,False,0,0.3551,True,False,6.0,3.0,experiments/raw/RUN-20260808-205723.txt
FE-A01,26,FE-026,RUN-20260808-205743,dog_bark,dog_bark,positive,FSD50K,eval,31840,metadata_pure_reserved_evaluation,1.8364,58ea825fac8afdfdf31b050dabc0cfe5805c1feb30f4ad0231ff9f6abd1f3479,21,9,True,True,8,8,dog_bark|speech,dog_bark,True,9,0.8711,False,False,4.0,1.0,experiments/raw/RUN-20260808-205743.txt
FE-A01,27,FE-027,RUN-20260808-205803,glass_breaking,glass_breaking,positive,FSD50K,eval,32880,metadata_pure_reserved_evaluation,7.9355,a369c14ea1dce2e79535ee7d308ee69c4f9004d3503a0f70a18664308aa889bb,20,5,True,True,6,6,glass_breaking,glass_breaking,True,5,0.9609,False,False,4.211,1.2110000000000003,experiments/raw/RUN-20260808-205803.txt
FE-A01,28,FE-028,RUN-20260808-205823,siren,siren,positive,FSD50K,eval,26217,metadata_pure_reserved_evaluation,6.4566,591a9f87ee7397d57c08947f952b364f7ffcd6c96eece6c081f1491abd9bb87c,21,3,True,False,0,2,thunderstorm,thunderstorm,False,0,0.1602,False,False,,,experiments/raw/RUN-20260808-205823.txt
FE-A01,29,FE-029,RUN-20260808-205843,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,78776,metadata_pure_reserved_evaluation,10.0,c8df1e803563de0c49732c1883f5fff632ba7ab12ee04492221ab47fa5c43d46,21,10,True,False,0,0,,unknown,True,3,0.5352,False,False,,,experiments/raw/RUN-20260808-205843.txt
FE-A01,30,FE-030,RUN-20260808-205904,speech,speech,positive,FSD50K,eval,382756,normal_speech_Female_speech_and_woman_speaking,0.0,bd8d11b3ecc1ba15a11099532a6e59b63a9105a32fcb5f119e0782ad3dd00b76,21,8,True,True,10,0,speech,speech,True,8,0.8947,False,False,4.0,1.0,experiments/raw/RUN-20260808-205904.txt
FE-A01,31,FE-031,RUN-20260808-205924,thunderstorm,thunderstorm,positive,FSD50K,eval,37244,metadata_pure_reserved_evaluation,-0.0,c97afbb75626fee6895ae2e8ef62ccf6da3b1d16507cee5fb77118da5a9a3a36,20,7,True,False,0,0,,unknown,True,3,0.625,False,False,,,experiments/raw/RUN-20260808-205924.txt
FE-A01,32,FE-032,RUN-20260808-205944,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,382735,metadata_pure_reserved_evaluation,10.0,33d3d8e44aaa94336b9f112bd74a4a050410010eec9208a7784dbd68839863ab,20,7,True,False,0,3,dog_bark,dog_bark,False,0,0.2969,False,False,,,experiments/raw/RUN-20260808-205944.txt
FE-A01,33,FE-033,RUN-20260808-210004,glass_breaking,glass_breaking,positive,FSD50K,eval,343756,metadata_pure_reserved_evaluation,3.0,638afdf5bc644e9263ace82b2ee02c381121c9b27911d4a65749816068c03e7e,21,4,True,True,2,2,glass_breaking,glass_breaking,True,2,0.6562,False,False,13.0,10.0,experiments/raw/RUN-20260808-210004.txt
FE-A01,34,FE-034,RUN-20260808-210024,speech,speech,positive,FSD50K,eval,87687,normal_speech_Male_speech_and_man_speaking,0.4088,4f33fe185f18248598acf48712a2ae6ffc4e32ad0fd1f980a5c2da85d669b982,21,9,True,True,12,0,speech,speech,True,9,0.9047,False,False,4.0,1.0,experiments/raw/RUN-20260808-210024.txt
FE-A01,35,FE-035,RUN-20260808-210044,glass_breaking,glass_breaking,positive,FSD50K,eval,378568,metadata_pure_reserved_evaluation,3.0,aeb4f205164b0a8f6f8000c4facc1a25ffabd2f19940d4f5a90b9edd03aa43fe,20,4,True,True,4,4,glass_breaking,glass_breaking,True,4,0.9922,False,False,4.211,1.2110000000000003,experiments/raw/RUN-20260808-210044.txt
FE-A01,36,FE-036,RUN-20260808-210104,dog_bark,dog_bark,positive,FSD50K,eval,74723,metadata_pure_reserved_evaluation,0.0,997947b37be26643acfeb77e707432fa0817cba81255b43620875934dde4a00d,20,7,True,True,10,10,dog_bark,dog_bark,True,7,0.8984,False,False,4.211,1.2110000000000003,experiments/raw/RUN-20260808-210104.txt
FE-A01,37,FE-037,RUN-20260808-210125,out_of_distribution,coughing,ood,ESC-50,fold_5,207681,one_per_hard_negative_category,-22.0,b02a5aa25c613efeffbcfffcd8df2ca295e3b4e320183577b82318bfeb063fd1,21,2,True,True,0,0,speech,speech,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-210125.txt
FE-A01,38,FE-038,RUN-20260808-210145,thunderstorm,thunderstorm,positive,FSD50K,eval,23229,metadata_pure_reserved_evaluation,0.0,80f86a7b6ad037a4389842edb47697e7be35212f6240cae1dac394b50fdaccd0,21,8,True,False,0,0,speech,speech,True,1,0.422,False,False,,,experiments/raw/RUN-20260808-210145.txt
FE-A01,39,FE-039,RUN-20260808-210205,siren,siren,positive,FSD50K,eval,405585,metadata_pure_reserved_evaluation,-0.0,f7a5ae822ccccb236526a2b81688a22b86e09885182dd08da951c8ef9a124387,21,7,True,True,6,6,siren|speech,siren,True,7,0.888,False,False,6.0,3.0,experiments/raw/RUN-20260808-210205.txt
FE-A01,40,FE-040,RUN-20260808-210225,out_of_distribution,crackling_fire,ood,ESC-50,fold_5,193473,one_per_hard_negative_category,-3.3138,dbfa418b94c4cfb5ead415dc04078b88289bd2921ba47fb46d97f0a541e8509e,20,0,False,True,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-210225.txt
FE-A01,41,FE-041,RUN-20260808-210245,dog_bark,dog_bark,positive,FSD50K,eval,32318,metadata_pure_reserved_evaluation,-0.4573,db855205cb3ec3120ec3a12b811d23a7a42cd5ef64be6a5a8a794716ee8baed0,21,7,True,True,9,9,dog_bark|speech,dog_bark,True,7,0.9648,False,False,4.0,1.0,experiments/raw/RUN-20260808-210245.txt
FE-A01,42,FE-042,RUN-20260808-210305,glass_breaking,glass_breaking,positive,FSD50K,eval,77528,metadata_pure_reserved_evaluation,12.19,6619dbbecfd882f5ee8d0914ee1a9ce707d65fd3d9ed42846f3b38effc352368,21,7,True,False,0,0,,unknown,True,7,0.6159,False,False,,,experiments/raw/RUN-20260808-210305.txt
FE-A01,43,FE-043,RUN-20260808-210326,thunderstorm,thunderstorm,positive,FSD50K,eval,432106,metadata_pure_reserved_evaluation,-0.0,c69126cb69cc663595e108684dd8c60e8863afaf728b522eab9f4da44c712fca,21,11,True,True,9,9,thunderstorm,thunderstorm,True,11,0.9042,False,False,4.0,1.0,experiments/raw/RUN-20260808-210326.txt
FE-A01,44,FE-044,RUN-20260808-210346,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,338324,metadata_pure_reserved_evaluation,10.0,d29424da4fe5e15bf6c5b458e9cea170e928c6074a4463d649c0f573cd876f42,20,6,True,True,4,4,gunshot_gunfire,gunshot_gunfire,True,5,0.7656,False,False,4.211,1.2110000000000003,experiments/raw/RUN-20260808-210346.txt
FE-A01,45,FE-045,RUN-20260808-210406,speech,speech,positive,FSD50K,eval,107331,normal_speech_Male_speech_and_man_speaking,-0.279,a7f6cc5114efa9245073f456d819344d6f676dd5a70663b0db754f7d30e416bd,21,9,True,True,12,0,speech,speech,True,9,0.9013,False,False,4.0,1.0,experiments/raw/RUN-20260808-210406.txt
FE-A01,46,FE-046,RUN-20260808-210426,dog_bark,dog_bark,positive,FSD50K,eval,118072,metadata_pure_reserved_evaluation,-0.0,382e67036b2b1cf0e5cb20356338451a6b7f038f5ff088cb003ce35de02b2527,21,8,True,False,0,0,speech,speech,True,3,0.5368,False,False,,,experiments/raw/RUN-20260808-210426.txt
FE-A01,47,FE-047,RUN-20260808-210446,glass_breaking,glass_breaking,positive,FSD50K,eval,338694,metadata_pure_reserved_evaluation,14.9829,5cf1a18526a84c587cbcb7cd199436e4def888e0878f695d26800075ba7122d0,21,6,True,False,0,0,,unknown,True,6,0.6211,False,False,,,experiments/raw/RUN-20260808-210446.txt
FE-A01,48,FE-048,RUN-20260808-210506,speech,speech,positive,FSD50K,eval,264611,normal_speech_Female_speech_and_woman_speaking,-0.1027,c6773e26403f24c4c85f34132690fd1baf4bb3de2882c805d32c1c00bedde7c4,20,8,True,True,12,0,speech,speech,True,8,0.8512,False,False,3.158,0.15799999999999992,experiments/raw/RUN-20260808-210506.txt
FE-A01,49,FE-049,RUN-20260808-210527,thunderstorm,thunderstorm,positive,FSD50K,eval,347562,metadata_pure_reserved_evaluation,0.1826,644cdf741e5b1651ee533775c9066f9f952747407450fe7cb18941f777efb2e0,20,11,True,False,0,0,,unknown,True,5,0.5887,False,False,,,experiments/raw/RUN-20260808-210527.txt
FE-A01,50,FE-050,RUN-20260808-210547,dog_bark,dog_bark,positive,FSD50K,eval,57596,metadata_pure_reserved_evaluation,0.6448,ec9083356214335228eb006784f163f74ea94139fd59d1e8dceea478ec7b1854,21,11,True,False,0,4,siren|speech,speech,True,1,0.4609,False,False,,,experiments/raw/RUN-20260808-210547.txt
FE-A01,51,FE-051,RUN-20260808-210607,out_of_distribution,car_horn,ood,ESC-50,fold_5,179866,one_per_hard_negative_category,-22.0,40f4c18e16216b71b1a2bac011605970a7f800af1bbd97ec94a97c08fae8a129,21,0,False,True,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-210607.txt
FE-A01,52,FE-052,RUN-20260808-210627,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,158724,metadata_pure_reserved_evaluation,7.6844,ba2dbfdb2174955156996d3a7a5bc873df6051a155439306d00edce781dba256,20,9,True,False,0,0,,unknown,False,0,0.2801,False,False,,,experiments/raw/RUN-20260808-210627.txt
FE-A01,53,FE-053,RUN-20260808-210647,glass_breaking,glass_breaking,positive,FSD50K,eval,366738,metadata_pure_reserved_evaluation,11.0513,e50b25a2ff1574d903578b80d61a8bb1b60ad6a4fb6cbc4680ea7a042c0b636b,20,0,False,False,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-210647.txt
FE-A01,54,FE-054,RUN-20260808-210707,siren,siren,positive,FSD50K,eval,198297,metadata_pure_reserved_evaluation,0.0,6c5e22c49a40883908e134e7330153648a272c322f88ee2199ec0c961c0fe17b,21,11,True,True,3,3,siren|speech,speech,True,10,0.7781,False,False,8.0,5.0,experiments/raw/RUN-20260808-210707.txt
FE-A01,55,FE-055,RUN-20260808-210727,dog_bark,dog_bark,positive,FSD50K,eval,260773,metadata_pure_reserved_evaluation,-0.0,2f13f73cf59b40d4637e9156e991cbd68f3fc12c0950fbed220dd245854ab62f,21,9,True,True,11,11,dog_bark,dog_bark,True,9,0.7974,False,False,4.0,1.0,experiments/raw/RUN-20260808-210727.txt
FE-A01,56,FE-056,RUN-20260808-210748,siren,siren,positive,FSD50K,eval,369202,metadata_pure_reserved_evaluation,-0.0,21660b26771ef3b6ff8b91404ba992147e32ac577555e56c2caf607d9ece9616,21,13,True,True,15,15,siren,siren,True,13,0.8818,False,False,3.0,0.0,experiments/raw/RUN-20260808-210748.txt
FE-A01,57,FE-057,RUN-20260808-210808,glass_breaking,glass_breaking,positive,FSD50K,eval,386906,metadata_pure_reserved_evaluation,5.5916,35280cb597562c1dbc452bf5ce5ecdd6889d99457429599635f3bf3b49cde4e0,20,8,True,False,0,0,,unknown,True,2,0.3698,False,False,,,experiments/raw/RUN-20260808-210808.txt
FE-A01,58,FE-058,RUN-20260808-210828,out_of_distribution,rain,ood,ESC-50,fold_5,193339,one_per_hard_negative_category,-13.3121,1a5f2be1401b949f1ad94a64841a648a702ffecea65abd6029a8759182edf957,21,5,True,True,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-210828.txt
FE-A01,59,FE-059,RUN-20260808-210848,dog_bark,dog_bark,positive,FSD50K,eval,154757,metadata_pure_reserved_evaluation,9.5437,a119cab7cb9fc44a217bcb7c2fc04471471beb6a39aa49f7cb61be85dd895747,21,16,True,False,0,0,speech,speech,True,6,0.4873,False,False,,,experiments/raw/RUN-20260808-210848.txt
FE-A01,60,FE-060,RUN-20260808-210908,thunderstorm,thunderstorm,positive,FSD50K,eval,29756,metadata_pure_reserved_evaluation,0.0,5c5414c6eb3da40ba396c67e4552011b2f4f28454ecf373d99b80628c7037db3,21,11,True,False,0,2,siren,siren,False,0,0.2429,False,False,,,experiments/raw/RUN-20260808-210908.txt
FE-A01,61,FE-061,RUN-20260808-210928,siren,siren,positive,FSD50K,eval,53448,metadata_pure_reserved_evaluation,0.0,7a96bb6ce6bb631abfdeea07f72da649d1ff37805a5c47779c0ebc2647b23364,20,7,True,True,8,8,siren,siren,True,6,0.9718,False,False,4.211,1.2110000000000003,experiments/raw/RUN-20260808-210928.txt
FE-A01,62,FE-062,RUN-20260808-210949,thunderstorm,thunderstorm,positive,FSD50K,eval,347855,metadata_pure_reserved_evaluation,0.0,7a253f133120414ec257fd2f9ea77b993d6bee2d4ee1c65116b674dda0a64b24,21,7,True,False,0,0,,unknown,True,1,0.4442,False,False,,,experiments/raw/RUN-20260808-210949.txt
FE-A01,63,FE-063,RUN-20260808-211009,dog_bark,dog_bark,positive,FSD50K,eval,424958,metadata_pure_reserved_evaluation,0.0,e0522bb37da749858ed4b4da25204b49ac268edf332a6d3f26854e86f66195f6,21,11,True,True,11,11,dog_bark,dog_bark,True,11,0.9531,False,False,4.0,1.0,experiments/raw/RUN-20260808-211009.txt
FE-A01,64,FE-064,RUN-20260808-211029,glass_breaking,glass_breaking,positive,FSD50K,eval,98054,metadata_pure_reserved_evaluation,17.576,aab7c69df1b5791e70146060b456b77bdef64304a175d718c17188cd5e0f6a07,21,6,True,True,10,10,glass_breaking,glass_breaking,True,6,0.8945,False,False,4.0,1.0,experiments/raw/RUN-20260808-211029.txt
FE-A01,65,FE-065,RUN-20260808-211049,thunderstorm,thunderstorm,positive,FSD50K,eval,397952,metadata_pure_reserved_evaluation,0.0,b852acf5c9a197c707bca010185ed83991541e8f1ebaeb65d7bf91d7d3fb6535,20,10,True,True,1,1,thunderstorm,thunderstorm,True,3,0.707,False,False,4.211,1.2110000000000003,experiments/raw/RUN-20260808-211049.txt
FE-A01,66,FE-066,RUN-20260808-211109,out_of_distribution,chainsaw,ood,ESC-50,fold_5,216370,one_per_hard_negative_category,-21.768,d65619a8ca52170096b89745b2e88d12d599d78cb4301a0ca1498fcd090b7f9f,20,7,True,False,0,3,siren|speech,speech,False,0,0.0,False,True,,,experiments/raw/RUN-20260808-211109.txt
FE-A01,67,FE-067,RUN-20260808-211129,speech,speech,positive,FSD50K,eval,221599,normal_speech_Male_speech_and_man_speaking,-0.0,c0efbd6927c9aeeaed57d226e24ef2a33eac29829fe99fdf8b49df048760ede6,21,10,True,True,12,0,speech,speech,True,9,0.9584,False,False,4.0,1.0,experiments/raw/RUN-20260808-211129.txt
FE-A01,68,FE-068,RUN-20260808-211150,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,274559,metadata_pure_reserved_evaluation,4.4649,7c175d194d2cddfffe51a05ba1dbe48f5fc8800606c17aec9541d9871e2d5978,21,11,True,True,10,10,gunshot_gunfire,gunshot_gunfire,True,11,0.9492,False,False,4.0,1.0,experiments/raw/RUN-20260808-211150.txt
FE-A01,69,FE-069,RUN-20260808-211210,out_of_distribution,fireworks,ood,ESC-50,fold_5,160614,one_per_hard_negative_category,-8.0333,c89b25c5687d203ac0c0480ec36d13831d1b2836e84403b22bdb86af38c040e3,20,0,False,True,0,0,,unknown,False,0,0.0,False,False,,,experiments/raw/RUN-20260808-211210.txt
FE-A01,70,FE-070,RUN-20260808-211230,glass_breaking,glass_breaking,positive,FSD50K,eval,315646,metadata_pure_reserved_evaluation,3.1921,f53354497d19a8549e8f88b67b9367f8a1675f63b41c37e2c8020ef6170e8f0c,20,8,True,False,0,0,,unknown,True,3,0.4725,False,False,,,experiments/raw/RUN-20260808-211230.txt
