trial_order,trial_id,evaluation_id,attempt_id,expected_class,true_category,test_type,review_candidate_id,review_candidate_set_id,review_validity,review_completeness,review_audibility,review_artifact,source_dataset,source_partition,source_id,source_group,source_labels,source_title,source_uploader,license_url,selection_stratum,source_filename,source_sha256,review_stimulus_sha256,stimulus_file,stimulus_path,sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,target_output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,model_name,model_output_classes,system_classes,model_onnx_sha256,weights_sha256,application_binary_sha256,status
11,FE4-011,STM32N6-HAZARD6-FINAL-003,FE4-A01,gunshot_gunfire,gunshot_gunfire,positive,FE2C-039,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,171236,171236,"Gunshot_and_gunfire,Explosion",Gunshot2.wav,alukahn,http://creativecommons.org/licenses/by/3.0/,label_metadata_only_candidate,171236.wav,9b826f350eb7f7824576888410da463cd942fa9eadcca421fd8cec87d8bf0ae2,528ab55a1452384177b28a425684816d9d6b39d5f83f5d8b29850a4512bd11c5,FE4-011.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-011.wav,528ab55a1452384177b28a425684816d9d6b39d5f83f5d8b29850a4512bd11c5,10.25,-26.1187,-52.3819,-42.0,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
12,FE4-012,STM32N6-HAZARD6-FINAL-003,FE4-A01,other,Bell,positive,FE2C-058,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,200318,200318,Bell,Hand Bell.wav,WebbFilmsUK,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Bell,200318.wav,9265d6d6aa3f619f9c5f9234b3b0ff54ff083624927bf56f36f0d4d946fceef4,b0cf988d5035e02a7138145b94bf13ddb22789f983690bcfb5839df35cb19469,FE4-012.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-012.wav,b0cf988d5035e02a7138145b94bf13ddb22789f983690bcfb5839df35cb19469,10.5,-31.0711,-51.0516,-42.0003,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
13,FE4-013,STM32N6-HAZARD6-FINAL-003,FE4-A01,glass_breaking,glass_breaking,positive,FE2S-018,FE2-SUPPLEMENT-001,canonical,complete,normal,none,FSD50K,eval,29712,29712,"Shatter,Chink_and_clink,Glass",broken glass.ogg,Glaneur de sons,http://creativecommons.org/licenses/by/3.0/,supplement_explicit_shatter_metadata,29712.wav,0ba28a0c487bbb436a17ad7943b8e4b65446bd1cc964c132324fe6675014af8c,d93cd1254eede4011afc4cc4846b42bccaf08390b66089167e7cefaf29135d07,FE4-013.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-013.wav,d93cd1254eede4011afc4cc4846b42bccaf08390b66089167e7cefaf29135d07,10.25,-27.0577,-55.4364,-42.0006,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
14,FE4-014,STM32N6-HAZARD6-FINAL-003,FE4-A01,speech,speech,positive,FE2C-064,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,257865,257865,"Male_speech_and_man_speaking,Conversation,Speech,Human_voice",Conversación Punjabi (idRsw055),xavierbonfill,http://creativecommons.org/licenses/by-nc/3.0/,review_Male_speech_and_man_speaking,257865.wav,eddb70a53bd7d7fc9e518d394e68234ed87d5fb98cbb1a21f8bf789ba477a0dc,296dec5272f0167be22c62af4a49cadd8423066d01ec57ec7b7339872af9f5d0,FE4-014.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-014.wav,296dec5272f0167be22c62af4a49cadd8423066d01ec57ec7b7339872af9f5d0,14.880544,-31.1282,-50.984,-41.9997,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
15,FE4-015,STM32N6-HAZARD6-FINAL-003,FE4-A01,gunshot_gunfire,gunshot_gunfire,positive,FE2C-051,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,249146,249146,"Gunshot_and_gunfire,Explosion",50 CAL Machine Gun.wav,klangfabrik,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,249146.wav,c10fa0c91b3d2ecc6cb46e4b43bf18414b9acad9ee77d9e8177eb8e6bac971c5,02372a99c1c9cd8a29c37d9dcca2c7a1d9655c38e6b636ccec2b909ea88b43b1,FE4-015.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-015.wav,02372a99c1c9cd8a29c37d9dcca2c7a1d9655c38e6b636ccec2b909ea88b43b1,10.25,-28.82,-45.9211,-42.0,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
16,FE4-016,STM32N6-HAZARD6-FINAL-003,FE4-A01,other,Clapping,positive,FE2C-001,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,349695,349695,"Clapping,Hands",fast clapping.mp3,DrMaysta,http://creativecommons.org/publicdomain/zero/1.0/,review_other_Clapping,349695.wav,9698abf3df5658ee0d15673882ea0de35abe3afcba1e728355c6ded745dfdb0f,12a3fc3890bc919f7c80baecc28bcf03b75df94d443f4facf951b1076764480b,FE4-016.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-016.wav,12a3fc3890bc919f7c80baecc28bcf03b75df94d443f4facf951b1076764480b,10.25,-23.3546,-47.2454,-41.998,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
17,FE4-017,STM32N6-HAZARD6-FINAL-003,FE4-A01,dog_bark,dog_bark,positive,FE2C-061,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,361544,361544,"Bark,Dog,Domestic_animals_and_pets,Animal",Small Dog Barking,josepharaoh99,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,361544.wav,7bc6b4b93efa755b0fd6c05dd3f71d2098eaae46620a2cd3030e82de30c62f85,17c3093aaa86a9b36dc9cb46acbc11f19715ab55eda62bab393b12fe298cf7c0,FE4-017.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-017.wav,17c3093aaa86a9b36dc9cb46acbc11f19715ab55eda62bab393b12fe298cf7c0,10.5,-33.4568,-54.0399,-41.9999,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
18,FE4-018,STM32N6-HAZARD6-FINAL-003,FE4-A01,siren,siren,positive,FE2C-024,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,405590,405590,"Siren,Alarm",Siren ( Concrete Stairwell Direct ).wav,JohnLaVine333,http://creativecommons.org/publicdomain/zero/1.0/,label_metadata_only_candidate,405590.wav,1883f762c9d6c08f589ded4a6098c6ae23aac949d9e09174401c5af6bd33be84,7dc04d6a7a38a99472f466628a7138f602d9c346744ab9713a15ccb784936590,FE4-018.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-018.wav,7dc04d6a7a38a99472f466628a7138f602d9c346744ab9713a15ccb784936590,10.5,-34.024,-48.1427,-42.0001,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
19,FE4-019,STM32N6-HAZARD6-FINAL-003,FE4-A01,speech,speech,positive,FE2C-036,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,120952,120952,"Male_speech_and_man_speaking,Speech,Human_voice",Teqstudios 'Stimerol Productions'.flac,Timbre,http://creativecommons.org/licenses/by-nc/3.0/,review_Male_speech_and_man_speaking,120952.wav,daa8b02551ce60feb77d34992b5a3910847ad3a668b96ff40867a1b87d3e8ae0,35a8bd43ee6c5d00a10d92c569c211172b8c33b6032cce996850fc03a3054299,FE4-019.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-019.wav,35a8bd43ee6c5d00a10d92c569c211172b8c33b6032cce996850fc03a3054299,10.5,-32.1393,-50.314,-42.0001,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
20,FE4-020,STM32N6-HAZARD6-FINAL-003,FE4-A01,gunshot_gunfire,gunshot_gunfire,positive,FE2S-010,FE2-SUPPLEMENT-001,canonical,complete,normal,none,FSD50K,eval,351778,351778,"Hiss,Gunshot_and_gunfire,Explosion",AK47 SFX.mp3,kennysvoice,http://creativecommons.org/publicdomain/zero/1.0/,supplement_explicit_firearm_metadata,351778.wav,d31fde9ab5ca60fc95c0b6019fbad61ef296b2dd2c37375be442379c9c9eeaef,de22c8d01ec2dab3cc1bdf999a035b2a4d9c963114a17d5f3058cdb897d01a7a,FE4-020.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-020.wav,de22c8d01ec2dab3cc1bdf999a035b2a4d9c963114a17d5f3058cdb897d01a7a,10.25,-30.9956,-46.968,-42.0007,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
21,FE4-021,STM32N6-HAZARD6-FINAL-003,FE4-A01,siren,siren,positive,FE2S-009,FE2-SUPPLEMENT-001,canonical,complete,normal,none,UrbanSound8K,fold_9,157866,157866,siren,UrbanSound8K siren recording 157866,Jefflix,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,157866-8-0-0.wav,6d5893b621c665028fef5f3f95a941553a2c3d88fe545089baf549ddd11578f6,31652b0311061ab9652264a784df2e3f772c14277b044cf05c057ea327be503b,FE4-021.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-021.wav,31652b0311061ab9652264a784df2e3f772c14277b044cf05c057ea327be503b,13.0,-32.6699,-44.1383,-42.0,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
22,FE4-022,STM32N6-HAZARD6-FINAL-003,FE4-A01,dog_bark,dog_bark,positive,FE2C-034,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,15792,15792,"Bark,Dog,Domestic_animals_and_pets,Animal",dog 3.wav,laurent,http://creativecommons.org/licenses/by/3.0/,label_metadata_only_candidate,15792.wav,08bbc16cbbb857028093dba4e36f43bb89a4d037d97f85c3db8756bd98d23767,a0973958a3b41f8723005a9b1dcb1878968e2b29554352f4e26441a14e4ca446,FE4-022.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-022.wav,a0973958a3b41f8723005a9b1dcb1878968e2b29554352f4e26441a14e4ca446,10.5,-30.6005,-56.8043,-41.9998,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
23,FE4-023,STM32N6-HAZARD6-FINAL-003,FE4-A01,glass_breaking,glass_breaking,positive,FE2S-002,FE2-SUPPLEMENT-001,canonical,complete,normal,none,FSD50K,eval,409297,409297,"Shatter,Chink_and_clink,Glass",Breaking glass,Sound_2425,http://creativecommons.org/licenses/by-nc/3.0/,supplement_explicit_shatter_metadata,409297.wav,2cb7653ead4eafe72064d548f7200046277836491c99b24641b0c1fdc60a41ae,55510638cb066f0bc6fc0bc114e806e36ff2dae4ea739f607d006cb1d1fa151d,FE4-023.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-023.wav,55510638cb066f0bc6fc0bc114e806e36ff2dae4ea739f607d006cb1d1fa151d,10.25,-21.5382,-55.9294,-42.0,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
24,FE4-024,STM32N6-HAZARD6-FINAL-003,FE4-A01,other,Dishes_and_pots_and_pans,positive,FE2C-069,FE2-CANDIDATES-001,canonical,complete,normal,none,FSD50K,eval,33854,33854,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds",gongs_grand_couvercle_04.wav,2NiD,http://creativecommons.org/licenses/by/3.0/,review_other_Dishes_and_pots_and_pans,33854.wav,b53e5a4e0a3620b1f2c9b08a6274393c46593bb423acc0e3c9dd3199ca34cc76,798d504cd21840a8ec37b12f367c595010aff32383ba32606d031ecc13b0786d,FE4-024.wav,../ml-workspace/datasets/hazard6_final_evaluation_v4_independent/audio/FE4-024.wav,798d504cd21840a8ec37b12f367c595010aff32383ba32606d031ecc13b0786d,13.350612,-30.2657,-51.1703,-41.9998,-42.0,30,100,3,15,YAMNet-1024 V5 int8; six system classes (thunder merged into other),7,6,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,frozen_not_captured
