review_phase,review_id,expected_class,true_category,representativeness,audibility,variant,eligible_for_targeted_pilot2,note
initial,P2R-038,glass_breaking,glass_breaking,canonical,normal,clean_shatter,True,not bad
initial,P2R-039,thunderstorm,thunderstorm,canonical,normal,not_recorded,False,high pitched background
initial,P2R-040,siren,siren,canonical,normal,not_recorded,True,a bit loud but nice
initial,P2R-041,dog_bark,dog_bark,ambiguous_wrong,loud_distorted,not_recorded,False,"really loud background, some dog barking barely heard"
initial,P2R-042,speech,speech,ambiguous_wrong,loud_distorted,not_speech,False,too short and odd
initial,P2R-043,out_of_distribution,crying_baby,atypical_valid,loud_distorted,not_recorded,False,too loud
initial,P2R-044,gunshot_gunfire,gunshot_gunfire,canonical,normal,single_shot,True,a bit blurred but ok
initial,P2R-045,glass_breaking,glass_breaking,ambiguous_wrong,loud_distorted,shatter_plus_impact,False,weird
initial,P2R-046,siren,siren,canonical,loud_distorted,not_recorded,True,loud but ok
initial,P2R-047,gunshot_gunfire,gunshot_gunfire,ambiguous_wrong,quiet,impact_or_unclear,False,short
initial,P2R-048,gunshot_gunfire,gunshot_gunfire,ambiguous_wrong,loud_distorted,impact_or_unclear,False,not a gunshot
initial,P2R-049,out_of_distribution,door_wood_knock,atypical_valid,loud_distorted,not_recorded,False,very loud
initial,P2R-050,siren,siren,canonical,loud_distorted,not_recorded,True,very loud and has human speech in background
initial,P2R-051,siren,siren,atypical_valid,normal,not_recorded,False,a bit odd
initial,P2R-052,gunshot_gunfire,gunshot_gunfire,canonical,normal,multiple_shots,True,not bad
initial,P2R-053,thunderstorm,thunderstorm,canonical,normal,not_recorded,False,has high pitched background
initial,P2R-055,gunshot_gunfire,gunshot_gunfire,atypical_valid,loud_distorted,multiple_shots,False,weird
initial,P2R-056,out_of_distribution,clapping,ambiguous_wrong,loud_distorted,not_recorded,False,odd
initial,P2R-057,dog_bark,dog_bark,canonical,normal,not_recorded,True,great
initial,P2R-058,speech,speech,ambiguous_wrong,loud_distorted,not_speech,False,weird
supplement,P2S-001,glass_breaking,glass_breaking,ambiguous_wrong,loud_distorted,shatter_plus_impact,False,blurred
supplement,P2S-002,out_of_distribution,door_wood_knock,canonical,loud_distorted,not_recorded,True,too loud
supplement,P2S-003,out_of_distribution,rain,ambiguous_wrong,loud_distorted,not_recorded,False,high pitch background
supplement,P2S-004,thunderstorm,thunderstorm,ambiguous_wrong,quiet,not_recorded,False,just blurry deep sound
supplement,P2S-005,out_of_distribution,clock_tick,canonical,loud_distorted,not_recorded,True,too loud
supplement,P2S-006,out_of_distribution,clapping,canonical,loud_distorted,not_recorded,True,a bit loud but fine
supplement,P2S-007,out_of_distribution,door_wood_knock,canonical,loud_distorted,not_recorded,True,too loud
supplement,P2S-008,thunderstorm,thunderstorm,canonical,loud_distorted,not_recorded,True,good
supplement,P2S-009,glass_breaking,glass_breaking,ambiguous_wrong,normal,shatter_plus_impact,False,not it at all
supplement,P2S-010,out_of_distribution,door_wood_knock,canonical,normal,not_recorded,True,ok
supplement,P2S-011,out_of_distribution,clapping,ambiguous_wrong,loud_distorted,not_recorded,False,weird noises
supplement,P2S-012,thunderstorm,thunderstorm,canonical,normal,not_recorded,False,"quite ok, has high pitched background"
supplement,P2S-013,out_of_distribution,clock_tick,canonical,loud_distorted,not_recorded,True,too loud
supplement,P2S-014,out_of_distribution,rain,ambiguous_wrong,loud_distorted,not_recorded,False,too loud (VERY)
supplement,P2S-015,glass_breaking,glass_breaking,canonical,loud_distorted,shatter_plus_impact,False,very loud
supplement,P2S-016,glass_breaking,glass_breaking,ambiguous_wrong,normal,handling_or_clink,False,its not correct
supplement,P2S-017,out_of_distribution,rain,ambiguous_wrong,normal,not_recorded,False,weird
supplement,P2S-018,glass_breaking,glass_breaking,canonical,normal,shatter_plus_impact,True,multiple breakings
supplement,P2S-019,glass_breaking,glass_breaking,canonical,normal,clean_shatter,True,amazing
supplement,P2S-020,out_of_distribution,clapping,canonical,loud_distorted,not_recorded,True,too loud
supplement,P2S-021,thunderstorm,thunderstorm,canonical,normal,not_recorded,True,great
supplement,P2S-022,thunderstorm,thunderstorm,atypical_valid,normal,not_recorded,False,too high pitched background
supplement,P2S-023,out_of_distribution,clock_tick,canonical,loud_distorted,not_recorded,True,too loud
supplement,P2S-024,thunderstorm,thunderstorm,canonical,normal,not_recorded,True,not bad
ambient,P2A-001,out_of_distribution,rain,canonical,loud_distorted,not_recorded,True,too loud
ambient,P2A-002,out_of_distribution,wind,canonical,loud_distorted,not_recorded,True,TOO LOUD
ambient,P2A-003,out_of_distribution,wind,canonical,loud_distorted,not_recorded,True,TOO LOUD
ambient,P2A-004,out_of_distribution,rain,canonical,loud_distorted,not_recorded,True,TOO LOUD
