review_order,candidate_id,evaluation_id,candidate_set_id,expected_class,true_category,test_type,source_dataset,source_partition,source_id,source_group,source_labels,source_title,source_uploader,license_url,selection_stratum,supplement_reason,source_filename,source_sha256,source_sample_rate_hz,source_duration_s,normalization_gain_db,excerpt_start_s,excerpt_duration_s,transient_sequence,repetitions,gap_seconds,stimulus_path,stimulus_sha256,sequence_duration_s,output_peak_dbfs,output_rms_dbfs,output_max_100ms_rms_dbfs,distance_cm,volume_percent,playback_delay_s,capture_duration_s,model_onnx_sha256,weights_sha256,application_binary_sha256,status
11,FE2S-011,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,siren,siren,positive,UrbanSound8K,fold_9,159744,159744,siren,UrbanSound8K siren recording 159744,conleec,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,strict_review_shortage_6,159744-8-0-0.wav,8e531bd1febee4dad185b7683753e23bd447f67ce56076abe388fd76d57ccc27,48000,4.0,7.7516,0.0,4.0,False,3,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-011.wav,5cd05934b89cd0f4bd5f32251b506d2fec7e8019527778ce9f3bae3eaee8b2d3,13.0,-33.2472,-45.8229,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
12,FE2S-012,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,glass_breaking,glass_breaking,positive,FSD50K,eval,86324,86324,"Shatter,Chink_and_clink,Glass",Smashing #1.wav,Timbre,http://creativecommons.org/licenses/by-nc/3.0/,supplement_explicit_shatter_metadata,strict_review_shortage_2,86324.wav,6a72186dca7e0cfc6a722c12806680a70465b22a28dd7faaa922ce1b7d4eb36e,44100,23.219206,-33.2518,8.9,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-012.wav,fb6d7bc3380d4d3a83cb23a36000e15464a047e0c82fc22eac09e910a8719155,10.25,-34.336,-47.3745,-42.0002,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
13,FE2S-013,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,siren,siren,positive,UrbanSound8K,fold_10,159742,159742,siren,UrbanSound8K siren recording 159742,conleec,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,strict_review_shortage_6,159742-8-0-0.wav,654a6c4b6ce2dcc0b6aee7d066a67aa8a385863db2055cc81dfe5bd601fbcf5e,48000,4.0,26.5923,0.0,4.0,False,3,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-013.wav,590170ceb2454405a19950356b5f49b609954d858b9a355143b047991281c64b,13.0,-29.2321,-48.5561,-42.0,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
14,FE2S-014,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,399065,399065,"Rattle,Gunshot_and_gunfire,Explosion",Tikka M65_2.wav,fastson,http://creativecommons.org/licenses/by/3.0/,supplement_explicit_firearm_metadata,strict_review_shortage_1,399065.wav,e5cb98f9b84d3e7f646eaabf83a1fe41d7e9f2110816b56c6e43e76fbeb2d932,44100,4.24,-35.2612,0.0,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-014.wav,4b100eb0b28462f6aea99e3100059c00737c96892156d500ef73e68ad430841a,10.25,-35.2527,-54.7852,-41.9995,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
15,FE2S-015,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,siren,siren,positive,UrbanSound8K,fold_10,93567,93567,siren,UrbanSound8K siren recording 93567,bulldozia,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,strict_review_shortage_6,93567-8-0-10.wav,44528128b487886ff88d64fde8808562480b82dff07f0e99721aa975697f824a,44100,4.0,-19.1859,0.0,4.0,False,3,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-015.wav,966e1f6a731e59d7fc4e3267da9c1105c218d2571c711a2d61dbda681b8df52b,13.0,-28.1784,-45.4374,-41.9999,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
16,FE2S-016,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,glass_breaking,glass_breaking,positive,FSD50K,eval,257642,257642,"Shatter,Chink_and_clink,Glass",Glass breaking.wav,speedygonzo,http://creativecommons.org/licenses/by/3.0/,supplement_explicit_shatter_metadata,strict_review_shortage_2,257642.wav,955cc371354250b2da11c764ae1e0ad36890a2523c68e31633be3dd8f6a2ee61,44100,8.448005,-21.6616,2.8,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-016.wav,ca1f8950ff34d950dfe6e228725b150a3e5162713b83adf0c8c52931e5ba4f92,10.25,-32.9596,-50.9809,-41.9999,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
17,FE2S-017,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,404334,404334,"Gunshot_and_gunfire,Explosion",Firefight,TheBuilder15,http://creativecommons.org/publicdomain/zero/1.0/,supplement_explicit_firearm_metadata,strict_review_shortage_1,404334.wav,a05d1af5b699547b0780b8bab9382de12ed4f0fe6b0d40d3ea7070b993182856,44100,20.391701,-35.004,4.5,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-017.wav,e96a50bbf7c21ebee864db5851319922415a3dc9672020c2c6e3f95e0c58f980,10.25,-34.9956,-47.7463,-42.0003,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
18,FE2S-018,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,glass_breaking,glass_breaking,positive,FSD50K,eval,29712,29712,"Shatter,Chink_and_clink,Glass",broken glass.ogg,Glaneur de sons,http://creativecommons.org/licenses/by/3.0/,supplement_explicit_shatter_metadata,strict_review_shortage_2,29712.wav,0ba28a0c487bbb436a17ad7943b8e4b65446bd1cc964c132324fe6675014af8c,44100,11.335351,-25.5036,0.0,2.0,True,4,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-018.wav,d93cd1254eede4011afc4cc4846b42bccaf08390b66089167e7cefaf29135d07,10.25,-27.0577,-55.4364,-42.0006,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
19,FE2S-019,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,siren,siren,positive,UrbanSound8K,fold_9,66601,66601,siren,UrbanSound8K siren recording 66601,Robinhood76,http://creativecommons.org/licenses/by-nc/3.0/,supplement_reserved_fold_one_source_one_candidate,strict_review_shortage_6,66601-8-0-0.wav,cafe805122ce507eef9f6c232e91b5365f432b2668f005eba745b45e82d10fd7,44100,4.0,-11.9735,0.0,4.0,False,3,0.5,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-019.wav,7a3ca325431ad2f6accee37540a7e7e6f52386f8b24f9dd1e35451f40d299635,13.0,-30.4933,-45.3535,-41.9993,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
20,FE2S-020,STM32N6-HAZARD7-FINAL-002,FE2-SUPPLEMENT-001,gunshot_gunfire,gunshot_gunfire,positive,FSD50K,eval,58904,58904,"Gunshot_and_gunfire,Explosion",Western Shot Modern 2.wav,Rock Savage,http://creativecommons.org/licenses/sampling+/1.0/,supplement_explicit_firearm_metadata,strict_review_shortage_1,58904.wav,2721948e7cb995d2cdf23a63b2f5a1b6f53490cd7d1c8f303986d071058f76ca,44100,1.448458,-26.0061,0.0,1.448458,True,5,0.75,C:\Users\alexm\Downloads\bachelor-thesis-book-master\bachelor-thesis-book\ml-workspace\datasets\hazard7_final_v4_independent_supplement\audio\FE2S-020.wav,48934bfcfcd244e1f6fbe37d460127a7c6bf0912b30d1ccd56d193874ec0a28f,10.24229,-32.7386,-50.4602,-41.9997,30,100,3,15,6805110184e8295d73af52fc4093443a5a9867794e36b03e702e12c5a3d7548e,0979d852a24f3f2180e10f32f920eddeee166fabc5148841af5678731c33352e,e7e5e0d134cae4fe57bc2ab33848830b6efdff025e2e70af6bce3c3f9365d6bb,pending_blind_semantic_review
