trial_order,trial_id,run_id,expected_class,true_category,review_candidate_id,source_dataset,source_partition,source_id,passed,full_capture_passed,frames_observed,stimulus_window_frames,active_frames,activity_coverage,confirmed_expected_frames,dominant_confirmed_output,expected_rank1_seen,expected_rank1_frames,peak_expected_probability,first_expected_confirmation_s,confirmation_latency_after_playback_s,confirmed_hazard_frames,hazard_output_counts,hazard_false_alert,multiple_frame_hazard_false_alert,full_capture_confirmed_hazard_frames,full_capture_hazard_false_alert,preplayback_hazard_frames,raw_log_path
38,FE4-038,RUN-20260816-220235,gunshot_gunfire,gunshot_gunfire,FE2C-065,FSD50K,eval,196400,True,True,31,25,14,True,8,gunshot_gunfire,True,12,0.9684,4.0,1.0,8,gunshot_gunfire:8,False,False,8,False,0,experiments/raw/RUN-20260816-220235.txt
39,FE4-039,RUN-20260816-220251,dog_bark,dog_bark,FE2C-050,FSD50K,eval,326563,True,True,31,25,23,True,24,dog_bark,True,22,0.997,3.5,0.5,24,dog_bark:24,False,False,24,False,0,experiments/raw/RUN-20260816-220251.txt
40,FE4-040,RUN-20260816-220306,speech,speech,FE2C-101,FSD50K,eval,391300,True,True,30,24,17,True,15,speech,True,15,0.891,4.655,1.6550000000000002,0,,False,False,0,False,0,experiments/raw/RUN-20260816-220306.txt
41,FE4-041,RUN-20260816-220321,siren,siren,FE2S2-005,UrbanSound8K,fold_2,123688,True,True,31,25,23,True,13,siren,True,19,0.9495,6.0,3.0,13,siren:13,False,False,13,False,0,experiments/raw/RUN-20260816-220321.txt
42,FE4-042,RUN-20260816-220337,glass_breaking,glass_breaking,FE2C-102,FSD50K,eval,98055,True,True,31,25,10,True,13,glass_breaking,True,9,1.0,4.0,1.0,13,glass_breaking:13,False,False,16,False,3,experiments/raw/RUN-20260816-220337.txt
43,FE4-043,RUN-20260816-220352,speech,speech,FE2C-047,FSD50K,eval,152418,True,True,31,25,22,True,6,other,True,6,0.7949,4.0,1.0,0,,False,False,0,False,0,experiments/raw/RUN-20260816-220352.txt
44,FE4-044,RUN-20260816-220408,gunshot_gunfire,gunshot_gunfire,FE2C-060,FSD50K,eval,386780,True,True,30,24,15,True,3,gunshot_gunfire,True,8,0.9714,4.138,1.138,3,gunshot_gunfire:3,False,False,3,False,0,experiments/raw/RUN-20260816-220408.txt
45,FE4-045,RUN-20260816-220423,other,Wind,FE2C-026,FSD50K,eval,113175,True,True,31,25,23,True,18,other,True,22,0.8081,5.0,2.0,0,,False,False,0,False,0,experiments/raw/RUN-20260816-220423.txt
46,FE4-046,RUN-20260816-220438,dog_bark,dog_bark,FE2C-021,FSD50K,eval,89210,True,True,31,25,21,True,24,dog_bark,True,21,0.9946,3.5,0.5,24,dog_bark:24,False,False,24,False,0,experiments/raw/RUN-20260816-220438.txt
47,FE4-047,RUN-20260816-220454,glass_breaking,glass_breaking,FE2S-008,FSD50K,eval,34201,True,True,31,25,18,True,22,glass_breaking,True,18,1.0,3.5,0.5,22,glass_breaking:22,False,False,22,False,0,experiments/raw/RUN-20260816-220454.txt
48,FE4-048,RUN-20260816-220509,siren,siren,FE2S2-007,UrbanSound8K,fold_8,71177,True,True,30,24,23,True,10,siren,True,19,0.9471,4.655,1.6550000000000002,10,siren:10,False,False,10,False,0,experiments/raw/RUN-20260816-220509.txt
49,FE4-049,RUN-20260816-220525,speech,speech,FE2C-057,FSD50K,eval,146926,True,True,31,25,21,True,17,speech,True,16,0.9044,4.5,1.5,0,,False,False,0,False,0,experiments/raw/RUN-20260816-220525.txt
50,FE4-050,RUN-20260816-220540,other,Alarm,FE2C-005,FSD50K,eval,323238,True,True,31,25,24,True,16,other,True,12,0.6775,6.0,3.0,2,glass_breaking:2,True,True,2,True,0,experiments/raw/RUN-20260816-220540.txt
51,FE4-051,RUN-20260816-220555,glass_breaking,glass_breaking,FE2C-008,FSD50K,eval,366595,True,True,31,25,10,True,12,glass_breaking,True,8,1.0,4.0,1.0,12,glass_breaking:12,False,False,12,False,0,experiments/raw/RUN-20260816-220555.txt
52,FE4-052,RUN-20260816-220611,dog_bark,dog_bark,FE2C-018,FSD50K,eval,253754,True,True,30,24,12,True,8,dog_bark,True,6,0.7358,6.207,3.207,8,dog_bark:8,False,False,8,False,0,experiments/raw/RUN-20260816-220611.txt
53,FE4-053,RUN-20260816-220626,siren,siren,FE2S-011,UrbanSound8K,fold_9,159744,True,True,31,25,23,True,17,siren,True,21,0.8754,4.5,1.5,17,siren:17,False,False,17,False,0,experiments/raw/RUN-20260816-220626.txt
54,FE4-054,RUN-20260816-220642,gunshot_gunfire,gunshot_gunfire,FE2S-014,FSD50K,eval,399065,True,True,31,25,13,True,13,gunshot_gunfire,True,13,0.9798,4.5,1.5,13,gunshot_gunfire:13,False,False,16,False,3,experiments/raw/RUN-20260816-220642.txt
55,FE4-055,RUN-20260816-220657,speech,speech,FE2C-096,FSD50K,eval,86938,True,True,31,25,21,True,23,speech,True,21,0.9241,4.0,1.0,0,,False,False,0,False,0,experiments/raw/RUN-20260816-220657.txt
56,FE4-056,RUN-20260816-220712,gunshot_gunfire,gunshot_gunfire,FE2C-093,FSD50K,eval,242846,True,True,30,24,23,True,21,gunshot_gunfire,True,23,0.9738,4.138,1.138,21,gunshot_gunfire:21,False,False,21,False,0,experiments/raw/RUN-20260816-220712.txt
57,FE4-057,RUN-20260816-220728,other,Computer_keyboard,FE2C-080,FSD50K,eval,181264,True,True,31,25,22,True,18,other,True,20,0.8848,6.5,3.5,1,glass_breaking:1,True,False,1,True,0,experiments/raw/RUN-20260816-220728.txt
58,FE4-058,RUN-20260816-220743,siren,siren,FE2S2-006,UrbanSound8K,fold_7,105289,False,False,31,25,24,True,0,other,True,4,0.5954,,,0,,False,False,0,False,0,experiments/raw/RUN-20260816-220743.txt
59,FE4-059,RUN-20260816-220759,dog_bark,dog_bark,FE2C-092,FSD50K,eval,38121,True,True,31,25,24,True,11,dog_bark,True,14,0.8771,7.0,4.0,11,dog_bark:11,False,False,11,False,0,experiments/raw/RUN-20260816-220759.txt
60,FE4-060,RUN-20260816-220814,glass_breaking,glass_breaking,FE2C-016,FSD50K,eval,267889,True,True,30,24,17,True,23,glass_breaking,True,17,1.0,3.621,0.621,23,glass_breaking:23,False,False,23,False,0,experiments/raw/RUN-20260816-220814.txt
