log_id,recorded_at,category,action,result,evidence,commit,notes
LOG-011,2026-07-16T21:26:14+02:00,implementation,Added an on-board detected-sound LCD interface,The BM build completed with 0 errors; text 225788 bytes data 10224 bytes bss 361504 bytes,STM32CubeIDE build output and Projects/GS/Src/audio_display.c,,RGB565 framebuffer uses 768000 bytes of external PSRAM at 0x90000000; physical display validation pending
LOG-012,2026-07-16T21:49:35+02:00,flash,Programmed the signed detected-sound LCD application,STM32CubeProgrammer downloaded 231.06 KB to 0x70100000 in 2.061 seconds without errors,STM32CubeProgrammer v2.23.0 output,83b134c,Existing FSBL model weights and OTP configuration were left unchanged; boot and LCD validation pending
LOG-013,2026-07-16T22:05:00+02:00,validation,Tested the first detected-sound LCD firmware boot,COM3 was present but a 15-second capture contained no UART output; code inspection found the 0x90000000 framebuffer overlapped the generated network's first 16 MB PSRAM pool,COM3 capture plus Projects/X-CUBE-AI/models/network.c,83b134c,Framebuffer moved to 0x91000000 for the corrective build; physical LCD appearance requested from operator
LOG-014,2026-07-16T22:18:00+02:00,flash,Programmed the corrected detected-sound LCD application,STM32CubeProgrammer downloaded 231.06 KB to 0x70100000 in 2.354 seconds without errors,STM32CubeProgrammer v2.23.0 output,,Corrected framebuffer begins at 0x91000000; existing FSBL model weights and OTP configuration left unchanged
LOG-015,2026-07-16T22:30:00+02:00,diagnostic,Prepared a locally compiled no-LCD baseline firmware,The f605bb7 BM build completed with 0 errors; text 218060 bytes data 10224 bytes bss 361360 bytes,Fresh detached Git worktree and STM32CubeIDE build output,f605bb7,Baseline was signed with the same header v2.3 command to isolate local build and boot from LCD initialization
LOG-016,2026-07-16T22:34:00+02:00,flash,Programmed the locally compiled no-LCD diagnostic baseline,STM32CubeProgrammer downloaded 223.50 KB to 0x70100000 in 2.014 seconds without errors,STM32CubeProgrammer v2.23.0 output,f605bb7,Next test is boot-from-flash UART validation; screen is expected to remain black
LOG-017,2026-07-16T23:08:00+02:00,diagnostic,Identified the local application boot failure in signed-image alignment,The v2.23 default signed image added a 576-byte prefix and placed the vector table at 0x240 instead of the FSBL-required 0x400; using -align added a 1024-byte prefix and matched the raw SP and Reset vector exactly at offsets 0x400 and 0x404,STM32 Signing Tool header dump and binary vector-table comparison,,All project signing commands updated to include -align; aligned LCD firmware prepared for flashing
LOG-018,2026-07-16T23:12:00+02:00,flash,Programmed the aligned detected-sound LCD application,STM32CubeProgrammer downloaded the 231.50 KB image to 0x70100000 in 2.036 seconds without errors,STM32CubeProgrammer v2.23.0 output,,Image includes the FSBL-compatible 1024-byte aligned header; boot UART and LCD validation pending
LOG-019,2026-07-16T23:16:00+02:00,validation,Tested the correctly aligned LCD firmware boot,COM3 was present but a 20-second capture contained no UART output,COM3 capture,,With image alignment fixed the remaining suspected pre-UART stop is external PSRAM or LCD initialization; correctly aligned no-LCD control prepared
LOG-020,2026-07-16T23:20:00+02:00,flash,Programmed the correctly aligned no-LCD control application,STM32CubeProgrammer downloaded the 223.94 KB image to 0x70100000 in 2.079 seconds without errors,STM32CubeProgrammer v2.23.0 output,f605bb7,Control uses the same local compiler signing format FSBL and model assets while excluding all LCD and PSRAM additions
LOG-021,2026-07-16T23:24:00+02:00,validation,Validated the correctly aligned no-LCD control on hardware,Live UART frames 42 through 61 ran at 1.88 percent CPU load with 0.71 ms preprocessing and 1.17 ms inference; clock_tick events were emitted,COM3 20-second capture,f605bb7,Local build signing FSBL model audio capture and NPU inference are valid; remaining failure isolated to LCD or external PSRAM initialization
LOG-022,2026-07-16T23:28:00+02:00,implementation,Reworked the LCD framebuffer to avoid external PSRAM initialization,The single 768000-byte RGB565 framebuffer moved to 0x34200000 spanning enabled AXI SRAM3 and SRAM4; USE_EXT_SRAM and its initialization path were removed,Network memory map plus STM32N657 SRAM bank map,,Generated AED network references SRAM2 and SRAM6 but not SRAM3 through SRAM5; corrective build and hardware validation pending
LOG-023,2026-07-17T00:18:14+02:00,build,Built and signed the internal-SRAM LCD firmware,The BM build completed with 0 errors; text 224564 bytes data 10224 bytes bss 361400 bytes; the aligned signed image is 235840 bytes,STM32CubeIDE and STM32 Signing Tool v2.23.0 output,,Vector SP and Reset values in the signed image exactly match the raw binary at offsets 0x400 and 0x404; hardware validation pending
LOG-024,2026-07-17T00:22:00+02:00,flash,Programmed the aligned internal-SRAM LCD application,STM32CubeProgrammer downloaded the 230.31 KB image to 0x70100000 in 1.853 seconds without errors,STM32CubeProgrammer v2.23.0 output,,Framebuffer uses 0x34200000 across SRAM3 and SRAM4; boot UART and physical LCD validation pending
LOG-025,2026-07-17T00:26:00+02:00,validation,Tested the aligned internal-SRAM LCD application,The LCD remained black and COM3 produced no data during a 20-second capture,Physical observation and COM3 capture,,Because both external-PSRAM and internal-SRAM variants fail while the aligned no-LCD control runs the remaining common suspect is lightweight LTDC initialization; debugger-level fault capture planned
LOG-026,2026-07-17T00:42:00+02:00,diagnostic,Located the LTDC startup stall under ST-LINK GDB,Framebuffer rendering cache cleaning LTDC clock setup RGB GPIO setup control GPIO setup and panel reset all completed; execution stalled on the first LTDC GCR register access,GDB staged breakpoints in Projects/GS/Src/audio_display.c,,Comparison with ST image-classification example found missing secure privileged RIF configuration for LTDC LTDC layers and LTDC masters; permissions added for corrective build
LOG-027,2026-07-17T00:48:00+02:00,diagnostic,Identified the stopped LTDC pixel-clock source,Secure privileged RIF settings alone did not release the LTDC stall; comparison with ST clock configuration showed the audio application disables PLL4 while the display selects IC16 from PLL4 divided by two,ST ImageClassification SystemClock_Config and Projects/Common/system_clock_config.c,,Added ST reference PLL4 configuration at 50 MHz before selecting the 25 MHz LTDC pixel clock
LOG-028,2026-07-17T00:52:00+02:00,validation,Validated corrected LTDC startup under debugger and on the physical panel,GDB reached the instruction after the first LTDC register write and then displaySystemSetting; the user observed that the 800x480 LCD illuminated during the run,ST-LINK GDB staged breakpoints and physical observation,,Confirms the RIF plus PLL4 initialization removes the pre-UART display lockup
LOG-029,2026-07-17T00:55:00+02:00,flash,Built signed and programmed the corrected detected-sound display application,Build completed with 0 errors using text 224700 bytes data 10224 bytes and bss 361400 bytes; STM32CubeProgrammer wrote the aligned 230.44 KB image to 0x70100000 in 1.848 seconds,STM32CubeIDE GNU build STM32 Signing Tool v2.23.0 and STM32CubeProgrammer v2.23.0 output,,Boot-from-flash LCD and UART validation pending after returning both switches to L
LOG-030,2026-07-17T00:58:00+02:00,validation,Validated the corrected display and audio classifier in boot-from-flash mode,The LCD showed UNKNOWN then WAITING and updated to CRACKLING; UART frames 57 through 135 ran continuously at 1.89 percent CPU load with 0.72 ms preprocessing and 1.17 ms inference and emitted rooster and crying_baby events,Physical LCD observation and COM3 12-second raw capture,,Full FSBL application microphone preprocessing Neural-ART inference UART and LCD label path confirmed working with both boot switches at L
LOG-031,2026-07-26T13:40:00+02:00,implementation,Implemented stable decisions top-three display and structured per-window logging,Added a 65 percent EMA with 0.55 enter 0.40 release and 0.08 switch-margin hysteresis; LCD presents the stable class confidence bar and top three smoothed probabilities; UART emits AED_CSV rows for every 960 ms window,Source review and implementation on thesis-development,,WAITING represents two consecutive silent windows while UNKNOWN represents audible input below the decision threshold
LOG-032,2026-07-26T13:44:00+02:00,build,Built the temporal-filter and top-three firmware,The bare-metal build completed with 0 compiler errors; text 228820 bytes data 10248 bytes and bss 361552 bytes,STM32CubeIDE GNU Tools for STM32 14.3 build output,,Hardware flash and validation pending; the existing linker RWX warning remains unchanged
LOG-033,2026-07-26T14:08:00+02:00,flash,Signed and programmed the temporal-filter and top-three application,STM32CubeProgrammer wrote the aligned 234.47 KB signed image to application address 0x70100000 in 1.857 seconds,STM32 Signing Tool v2.23.0 and STM32CubeProgrammer v2.23.0 output,,FSBL model partition and OTP configuration were not changed
LOG-034,2026-07-26T14:16:00+02:00,validation,Validated WAITING telemetry and sound-triggered LCD updates on the physical board,UART frames 88 through 95 reported inactive audio and stable WAITING at 1.89 percent CPU with 0.72 ms preprocessing and 1.17 ms inference; the user then confirmed the screen leaves WAITING and responds to presented audio,Physical LCD observation and COM3 capture at 14400 baud,,Confirms microphone silence gating temporal state machine Neural-ART inference structured UART output and top-three display operate in boot-from-flash mode
LOG-035,2026-07-26T14:35:00+02:00,model_design,Defined the first diploma-specific ten-class taxonomy,Selected chainsaw clapping coughing crackling_fire crying_baby dog door_wood_knock footsteps glass_breaking and siren,ml/README.md and ml/configs/useful10_yamnet256_tqe.yaml,,Alphabetical order is fixed by the ST dataset loader and must match firmware output order
LOG-036,2026-07-26T15:05:00+02:00,dataset,Created a source-separated ESC-50 experiment split,Folds 1 through 3 contain 240 training clips fold 4 contains 80 validation clips and fold 5 contains 80 held-out test clips,ml/data/useful10_manifest.json and three tracked CSV manifests,,Each of the ten classes contributes 24 train 8 validation and 8 test clips
LOG-037,2026-07-26T16:05:00+02:00,training,Completed YAMNet-256 transfer learning and post-training quantization,All 50 epochs completed in 46 seconds; final train accuracy was 87.94 percent and validation accuracy was 83.17 percent,experiments/results/useful10_yamnet256/training_metrics.csv,,Only the new 2570-parameter output head was trainable; total parameters 137674
LOG-038,2026-07-26T16:08:00+02:00,evaluation,Evaluated float and int8 useful-ten models on untouched ESC-50 fold 5,Float and int8 clip accuracy both reached 87.5 percent or 70 correct of 80; int8 patch accuracy was 78.48 percent,experiments/results/useful10_yamnet256/summary.json and clip_predictions.csv,,Quantization preserved clip accuracy; macro F1 was 87.77 percent
LOG-039,2026-07-26T16:22:00+02:00,reporting,Created auditable thesis evaluation tables and graphs,Workbook contains formula-driven KPIs per-class metrics confusion matrix all clip predictions training curves and protocol provenance,experiments/results/useful10_yamnet256/useful10_model_evaluation.xlsx,,All six sheets were rendered and visually checked; formula-error scan returned no matches
LOG-040,2026-07-26T16:27:00+02:00,tooling,Audited the local Neural-ART model compilation prerequisite,STM32CubeIDE and CubeProgrammer are installed but stedgeai.exe is absent,Local executable search and ST official installation documentation,,Install STEdgeAI Core 4.0 STM32 MCU and ST Neural-ART components before generating firmware code and weights
LOG-041,2026-07-26T17:02:00+02:00,tooling,Verified the STEdgeAI Core installation,ST Edge AI Core 4.0.1-20581 with STM32CubeAI 12.0.1-RC2 and STM32N6 Neural-ART support is available at C:/ST/STEdgeAI/4.0/Utilities/windows/stedgeai.exe,Local stedgeai version and help output,,Installation prerequisite satisfied
LOG-042,2026-07-26T17:09:00+02:00,deployment,Generated STM32N6 Neural-ART code and weights for useful10_yamnet256,The generated graph uses 146.220 KiB external-flash weights and 144.000 KiB NPU SRAM activations; 12 of 15 epochs are pure hardware with one hybrid and two software epochs,Projects/X-CUBE-AI/models/network_generate_report.txt,,Generated weight blob is 149729 bytes at 0x70180000 with SHA256 23f5159767d42a2c34be7960ae4fd4132fa6f728b71f54601fa0f8a0f54625bc
LOG-043,2026-07-26T17:18:00+02:00,build,Migrated the project runtime to STEdgeAI 4.0.1 and built the useful-ten firmware,Updated NetworkRuntime1201 Cortex-M55 headers and Neural-ART revision 275 per the official ST migration procedure; BM build completed with 0 errors and text 220004 bytes data 8936 bytes bss 361480 bytes,STM32CubeIDE headless build and ST Neural-ART migration documentation,274b180,The existing RWX load-segment linker warning remains; hardware validation pending
LOG-044,2026-07-26T17:19:42+02:00,signing,Signed the useful-ten application for STM32N6 boot,Header v2.3 alignment placed the payload at offset 0x400; signed image is 229984 bytes with SHA256 28b3326afe42085d51d1d0c8b2f6ceeb66bb50573dce563d3ad6657392d95299,STM32 Signing Tool v2.23.0 output,,Application and custom weights are ready for programming; no flash write performed yet
LOG-045,2026-07-26T17:27:00+02:00,flash,Programmed the useful-ten model and application to the STM32N6570-DK,Neural-ART weights were written to 0x70180000 in 1.411 seconds and the 229984-byte signed application was written to 0x70100000 in 1.835 seconds; both explicit fast verification passes succeeded,STM32CubeProgrammer v2.23.0 output,6d7d7df,Existing FSBL and OTP settings were not changed; boot-from-flash validation pending
LOG-046,2026-07-26T19:41:04+02:00,validation,Validated the useful-ten firmware in boot-from-flash idle operation,All 16 captured frames remained in waiting with zero detection events; mean CPU load was 0.85 percent with 0.69 ms preprocessing 0.16 ms inference and 0.00 ms postprocessing,experiments/raw/RUN-20260726-194048.txt and structured run/frame CSVs,6d7d7df,Telemetry exposed the custom chainsaw clapping and coughing class order; the inference time is 86.3 percent lower than the 1.17 ms original-demo hardware control
LOG-047,2026-07-26T19:43:31+02:00,validation,Completed the first live clapping smoke test with the useful-ten model,Of 28 active frames 18 were classified as clapping 4 as door_wood_knock and 6 were rejected as unknown; clapping was the raw top-one class on 20 active frames,experiments/raw/RUN-20260726-194301.txt and structured run/frame CSVs,6d7d7df,Preliminary active-frame target rate was 64.29 percent with uncontrolled distance and sound level; this validates the full microphone DSP NPU filter UART and LCD path but is not a final accuracy estimate
LOG-048,2026-07-27T14:34:32+02:00,implementation,Implemented the first product-style acoustic safety dashboard,Dashboard groups frames into audio sessions and adds stable event labels three-item history severity mapping counters latched alerts uptime pause/resume and acknowledgement controls,Projects/GS/Src/audio_display.c and Projects/GS/Src/audio_bm.c,,The product layer uses USER1 for pause/resume and TAMP for alert acknowledgement
LOG-049,2026-07-27T14:35:00+02:00,build,Built signed and programmed dashboard firmware v1,BM build completed with 0 errors; signed application is 236064 bytes and full external-flash read-back verification passed,STM32CubeIDE build and STM32CubeProgrammer 2.23.0 output,,Dashboard adds 6040 text bytes 40 initialized-data bytes and 168 BSS bytes relative to the first useful-ten firmware; existing RWX linker warning remains
LOG-050,2026-07-27T15:20:00+02:00,diagnostic,Diagnosed visible LCD corruption during dashboard refresh,The CPU redrew the same 800x480 RGB565 framebuffer while LTDC was scanning it and exposed partially rendered frames,Physical LCD observation and Projects/GS/Src/audio_display.c,,The defect was display tearing rather than an inference or model error
LOG-051,2026-07-27T15:35:00+02:00,experiment,Rejected an L8 indexed-color double-buffer prototype,The firmware built and flashed but produced a gray display and no usable application output after boot,Physical LCD observation and firmware build output,,The failed approach was rolled back; it remains evidence of an evaluated memory-saving alternative
LOG-052,2026-07-27T15:53:00+02:00,experiment,Tested a reduced-refresh single-framebuffer workaround,Redrawing only on product-state transitions reduced periodic tearing but made the main result less responsive and still tore during actual state changes,Physical LCD observation and user validation,,The workaround treated the frequency of the symptom rather than the shared-framebuffer cause and was rejected
LOG-053,2026-07-27T16:01:00+02:00,implementation,Implemented full-color VBlank-synchronized double buffering,Two 768000-byte RGB565 buffers at 0x90E80000 and 0x90F3B800 use otherwise unused external HyperRAM; each completed hidden frame is cache-cleaned and presented with an LTDC vertical-blank reload,Projects/GS/Inc/stm32n6570_discovery_conf.h and Projects/GS/Src/audio_display.c,,The generated model report assigns 0 bytes of its 16 MiB HyperRAM pool so the framebuffers do not overlap NPU weights or activations
LOG-054,2026-07-27T19:29:00+02:00,diagnostic,Removed an unbounded historical-peak label lock,The original session rule required a challenger to exceed the retained peak confidence by eight percentage points and could make a high-confidence label impossible to replace,Source review and physical LCD validation,,A two-window challenger rule improved the bound but still did not match the desired live-product behavior
LOG-055,2026-07-27T20:10:00+02:00,validation,Validated the responsive tear-free dashboard on the physical STM32N6570-DK,The large label and confidence now mirror the current top-one model output while stabilized sessions remain limited to history and alert accounting; the user confirmed correct responsive behavior and stable screen transitions,Physical LCD observation STM32CubeIDE build and STM32CubeProgrammer read-back verification,,Final BM build has text 227740 bytes data 8984 bytes and BSS 361776 bytes; signed image is 237760 bytes with SHA256 7c355832dcc36e843ac6af11ee7bbb7e5afd6bdb4b90535fc52d5b30f2fda631
LOG-056,2026-08-01T17:20:00+02:00,baseline,Froze the validated useful-ten dashboard before hazard specialization,Recorded exact source commit firmware and model hashes flash addresses memory allocations display buffers and physical validation state,experiments/results/hazard_baseline/baseline_summary.json,,The baseline remains restorable and its reserved artifacts are not overwritten
LOG-057,2026-08-01T17:35:00+02:00,dataset,Audited eight danger candidates against official ESC-50 and FSD50K metadata,Cataloged 3542 source records with split roles and provenance; 200 ESC-50 audio files are local; Screaming and Gunshot require FSD50K audio; Fire alarm has no matching audited leaf class,ml/data/hazard_candidates/hazard_candidate_catalog.csv and hazard_candidate_summary.csv,,FSD50K evaluation remains reserved and no large audio archive was downloaded
LOG-058,2026-08-01T17:45:00+02:00,evaluation,Ran the preliminary YAMNet-256 embedding separability study,Five locally available candidates reached 95.0 percent validation accuracy on 40 ESC-50 fold-4 clips; siren and thunderstorm recall were 100 percent; reserved fold 5 was untouched,experiments/results/hazard_candidate_selection/preliminary_esc50,,Crackling fire and thunderstorm were the closest centroid pair at cosine similarity 0.9369
LOG-059,2026-08-01T18:00:00+02:00,reporting,Prepared the hazard selection workbook acquisition script and physical playback protocol,Created a formula-driven eight-sheet workbook with source audit metrics similarity confusion scoring and trial log; prepared verified resumable FSD50K acquisition and fixed playback procedures,experiments/results/hazard_candidate_selection/hazard_candidate_selection.xlsx,,The next required decision is whether to download and extract the 17.15 GiB FSD50K development archive
LOG-060,2026-08-01T22:10:00+02:00,dataset,Acquired and extracted the official FSD50K development audio archive,Downloaded 17.15 GiB across six resumable parts; every official MD5 matched; extraction produced exactly 40966 WAV files; evaluation audio remains unrequested and reserved,ml/acquire_fsd50k.ps1,,The development archive adds 2507 locally available candidate recordings while preserving the final external test split
LOG-061,2026-08-01T22:20:00+02:00,evaluation,Ran the expanded seven-candidate YAMNet-256 embedding study,Used 1093 training and 269 validation clips from ESC-50 and FSD50K development; excluded three recordings mapped to multiple danger candidates; achieved 87.73 percent validation accuracy,experiments/results/hazard_candidate_selection/expanded_dev,,Crackling fire and glass breaking were the weakest well-supported candidates; reserved test usage remained zero
LOG-062,2026-08-01T22:25:00+02:00,selection,Selected a provisional five-class danger taxonomy from offline evidence,Siren chainsaw gunshot or gunfire screaming and thunderstorm achieved 97.16 percent validation accuracy and 97.02 percent macro recall after five-class ablation; every offline recall gate passed,experiments/results/hazard_candidate_selection/provisional_final5_dev,,Selection remains provisional until physical playback and hard-negative gates pass
LOG-063,2026-08-01T22:25:00+02:00,training,Trained and quantized the provisional five-class YAMNet-256 model,Balanced 960 training entries through deterministic development-only oversampling; early stopping completed 30 epochs; float and int8 models both reached 95.60 percent clip accuracy on 182 development-validation clips,experiments/results/hazard5_yamnet256_development,,The 184000-byte int8 model has SHA256 14d9a98267a16de742beab3166ff42d00cb8bda3992c373c1333028473ceade1 and reserved test usage is zero
LOG-064,2026-08-01T22:35:00+02:00,deployment,Generated built signed and flashed the Hazard-5 STM32N6 application,ST Edge AI 4.0.1 generated 148417 bytes of Neural-ART weights and 147456 bytes of activations; clean BM build had zero errors; signed payload matched at offset 0x400; application and weights passed read-back verification,experiments/results/hazard5_yamnet256_development/deployment_summary.json,,FSBL and OTP were untouched; normal-boot LCD and UART validation awaits returning BOOT1 to its run position
LOG-065,2026-08-01T23:18:00+02:00,validation,Validated normal boot LCD and the live STM32N6 inference loop,User confirmed that the display looked good; an eight-frame quiet-room UART capture stayed waiting on every frame with mean preprocessing 0.70 ms NPU inference 0.16 ms and CPU load 0.85 percent,experiments/results/hazard5_yamnet256_development/live_baseline_20260801.json,,UART is COM3 at 14400 baud; this was a health capture rather than a scored accuracy trial
LOG-066,2026-08-01T23:20:00+02:00,observation,Recorded quiet-voice false alerts from the Hazard-5 closed-set baseline,User observed more alerts than with the useful-ten model including for quieter voices; source review showed a five-hazard-only softmax a 3000 spectrogram activity gate and a 0.55 entry threshold,experiments/results/hazard5_yamnet256_development/live_baseline_20260801.json,,Keep five user-facing hazards but add an internal background_other output and calibrate rejection before formal testing
LOG-067,2026-08-01T23:25:00+02:00,dataset,Prepared a split-safe six-output rejection dataset,Reused all 1142 closed-set Hazard-5 training and validation rows and added 384 training plus 120 validation background_other rows from speech music human household mechanical environmental and hard-negative sounds,ml/data/hazard5r_bg2x/hazard5r_training_manifest.json,,There was zero train-validation source overlap; ESC-50 fold 5 and FSD50K evaluation remained reserved
LOG-068,2026-08-01T23:35:00+02:00,evaluation,Rejected the first background-aware model at the development deployment gate,The int8 model rejected all 24 speech clips and 82.5 percent of diverse background but naive hazard accuracy fell to 87.36 percent; no calibration point jointly reached 94 percent hazard macro recall and 95 percent speech rejection,experiments/results/hazard5r_bg2x_yamnet256_development/calibration_gate_audit.json,,The board remains on the closed-set Hazard-5 baseline; the next iteration balances background training count with each hazard class
LOG-069,2026-08-01T23:41:00+02:00,dataset,Prepared a class-balanced six-output rejection retry,Reduced background training from 384 to 192 rows while preserving 40 speech rows and the exact same 302-clip validation manifest; all six model outputs had 192 training rows,ml/data/hazard5r_balanced/hazard5r_training_manifest.json,,Validation SHA256 remained 39ccffadd54975f53950465f97bf79cc1f937f93a69b261d828443ae54cd586d and reserved test usage remained zero
LOG-070,2026-08-01T23:47:00+02:00,evaluation,Rejected the balanced six-output retry and selected a cascade architecture,The retry recovered naive hazard accuracy to 91.76 percent but background rejection fell to 56.67 percent and speech rejection to 83.33 percent; it failed the same joint gate,experiments/results/hazard5r_balanced_yamnet256_development/calibration_gate_audit.json,,Next design uses a binary hazard gate followed by the validated five-hazard classifier; the board remains unchanged
LOG-071,2026-08-01T23:50:00+02:00,dataset,Prepared the binary stage-one hazard gate dataset,Balanced 384 hazard_any and 384 background_other training rows; retained all 182 hazard and 120 background validation clips with zero source overlap,ml/data/hazard_gate/hazard_gate_training_manifest.json,,Hazards were stratified 76 or 77 per original class and reserved test usage remained zero
LOG-072,2026-08-01T23:55:00+02:00,evaluation,Evaluated the head-only binary gate and full offline cascade,At threshold 0.50 the gate retained 95.05 percent hazard detection and the cascade classified 91.76 percent of hazard clips exactly but speech rejection was only 83.33 percent; the joint gate failed,experiments/results/hazard_gate_yamnet256_development/gate_calibration_summary.json,,Model was not deployed; next iteration fine-tunes the full YAMNet-256 backbone with the same data and validation
LOG-073,2026-08-02T00:10:00+02:00,evaluation,Rejected full-backbone fine-tuning of the binary hazard gate,The retry overfit to 100 percent training accuracy and only 60.60 percent independent int8 clip accuracy; retaining 95.60 percent of hazards rejected only 10 percent of background and 20.83 percent of speech,experiments/results/hazard_gate_yamnet256_finetuned_development/gate_calibration_summary.json,,The model was not deployed and the board remains on the stable closed-set Hazard-5 firmware; next evaluate confidence and ambiguity rejection on the accurate original model
LOG-074,2026-08-02T00:18:00+02:00,evaluation,Audited open-set confidence and ambiguity rejection on the stable Hazard-5 model,The unchanged int8 model exactly reproduced all 182 prior hazard predictions; its 0.55 confidence baseline rejected only 4 of 24 speech clips and no score-plus-margin point met the joint development gate,experiments/results/hazard5_open_set_development/open_set_calibration_summary.json,,Ordinary speech and genuine screaming confidence distributions overlap; no firmware change was made and a speech-focused binary gate is the next controlled retry
LOG-075,2026-08-02T00:19:00+02:00,dataset,Prepared a speech-heavy binary-gate retry,Kept the gate balanced at 384 hazards and 384 backgrounds but increased ordinary-speech training examples from 80 to 192; validation hashes remained identical and reserved test usage stayed zero,ml/data/hazard_gate_speechheavy/hazard_gate_training_manifest.json,,This isolates background composition as the only intentional experimental change
LOG-076,2026-08-02T00:22:00+02:00,evaluation,Rejected the speech-heavy binary gate at the joint development gate,At threshold 0.44 it retained 95.05 percent of hazards and rejected 87.5 percent of speech; reaching 95.83 percent speech rejection reduced hazard detection to 87.91 percent and minimum per-class recall to 75 percent,experiments/results/hazard_gate_speechheavy_yamnet256_development/gate_calibration_summary.json,,The model was not deployed; evidence now supports replacing screaming with a more open-set-distinct danger event
LOG-077,2026-08-02T00:24:00+02:00,selection,Prepared a data-backed Hazard-5 taxonomy revision recommendation,Re-analysis of cached development embeddings found that replacing screaming with glass breaking lowers maximum class-centroid similarity from 0.9764 to 0.9296 while retaining 92.86 percent preliminary validation accuracy,experiments/results/hazard_candidate_selection/taxonomy_revision_recommendation.md,,Recommendation awaits user approval because changing a user-facing hazard class materially changes the product
LOG-078,2026-08-02T00:32:00+02:00,selection,Expanded the replacement study after the user approved removing screaming and chainsaw,Compared fire dog bark and vehicle horn while holding glass gunshot siren and thunder fixed; dog bark produced the best macro and minimum-class recall,experiments/results/hazard_candidate_selection/replacement_taxonomy_dev,,Final visible taxonomy selected as dog bark glass breaking gunshot or gunfire siren and thunderstorm
LOG-079,2026-08-02T00:37:00+02:00,evaluation,Rejected the crackling-fire and glass-breaking five-class revision,The int8 model reached 88.70 percent clip accuracy but crackling fire recall was 75 percent and fire remained highly similar to thunderstorm,experiments/results/hazard5v2_yamnet256_development/summary.json,,The model was not deployed; dog bark replaced fire in the next controlled taxonomy
LOG-080,2026-08-02T00:39:00+02:00,evaluation,Rejected two background-aware fire and glass variants,The BG2X model reached 77.43 percent overall accuracy and the balanced retry 70.29 percent; both sacrificed danger recall without adequate rejection,experiments/results/hazard5v2r_bg2x_yamnet256_development and hazard5v2r_balanced_yamnet256_development,,Neither model was compiled or flashed
LOG-081,2026-08-02T00:43:00+02:00,training,Trained and quantized the selected dog-and-glass Hazard-5 model,The 184000-byte int8 model classified 225 of 254 development clips correctly with 88.81 percent macro recall and only 0.40 percentage-point loss from float,experiments/results/hazard5v3_yamnet256_development/summary.json,,Dog and glass each reached 81.67 percent recall; reserved external tests remained untouched
